"cited","citing"
"10.1073/pnas.71.10.4135","10.1074/jbc.m113.546515"
"10.1073/pnas.71.10.4135","10.1080/01496398208068550"
"10.1073/pnas.71.10.4135","10.1016/j.copbio.2013.04.008"
"10.1073/pnas.71.10.4135","10.1016/j.copbio.2009.08.006"
"10.1073/pnas.71.10.4135","10.1006/jtbi.2000.2163"
"10.1073/pnas.71.10.4135","10.1016/j.aam.2019.06.001"
"10.1073/pnas.71.10.4135","10.1038/s41467-018-03826-4"
"10.1073/pnas.71.10.4135","10.1093/nar/gku1370"
"10.1073/pnas.71.10.4135","10.1016/0014-5793(84)80617-1"
"10.1073/pnas.71.10.4135","10.3390/ijms21249449"
"10.1073/pnas.71.10.4135","10.1038/nrm2203"
"10.1073/pnas.71.10.4135","10.1063/1.5004793"
"10.1073/pnas.71.10.4135","10.3390/e21121212"
"10.1073/pnas.71.10.4135","10.3390/e21080743"
"10.1073/pnas.71.10.4135","10.1371/journal.pcbi.1002144"
"10.1073/pnas.71.10.4135","10.1371/journal.pcbi.1001069"
"10.1073/pnas.71.10.4135","10.1371/journal.pcbi.1000804"
"10.1073/pnas.71.10.4135","10.1371/journal.pbio.2006459"
"10.1073/pnas.71.10.4135","10.3934/biophy.2015.4.398"
"10.1073/pnas.71.10.4135","10.1109/memb.2006.1578663"
"10.1073/pnas.71.10.4135","10.1103/physreve.92.060101"
"10.1073/pnas.71.10.4135","10.1103/physreve.92.032702"
"10.1073/pnas.71.10.4135","10.1103/physreve.92.022716"
